regions,tech,growthrate_seed,growthrate_seed_units,growthrate_seed_notes
TO,COMBDGELCSTGBATDCE1HR_23,125.3,,
TO,COMBDGELCSTGBATDCE4HR_23,125.3,,
TO,COMBDGELCSTGBATDCE8HR_23,125.3,,
TO,COMBDGELCPRDPVDCEBEP_23,125.3,,
TO,COMBDGELCPRDPVDCEMEP_23,125.3,,
TO,COMBDGELCPRDPVDCEPOP_23,125.3,,
TO,COMBDGELCPRDWTDCESTD_23,125.3,,
TO,INDBDGELCSTGBATDCE1HR_23,125.3,,
TO,INDBDGELCSTGBATDCE4HR_23,125.3,,
TO,INDBDGELCSTGBATDCE8HR_23,125.3,,
TO,INDBDGELCPRDPVDCEBEP_23,125.3,,
TO,INDBDGELCPRDPVDCEMEP_23,125.3,,
TO,INDBDGELCPRDPVDCEPOP_23,125.3,,
TO,INDBDGELCPRDWTDCESTD_23,125.3,,
TO,PUBBDGELCSTGBATDCE1HR_23,125.3,,
TO,PUBBDGELCSTGBATDCE4HR_23,125.3,,
TO,PUBBDGELCSTGBATDCE8HR_23,125.3,,
TO,PUBBDGELCPRDPVDCEBEP_23,125.3,,
TO,PUBBDGELCPRDPVDCEMEP_23,125.3,,
TO,PUBBDGELCPRDPVDCEPOP_23,125.3,,
TO,PUBBDGELCPRDWTDCESTD_23,125.3,,
TO,RESBDGELCSTGBATDCE4HR_23,125.3,,
TO,RESBDGELCSTGBATDCE8HR_23,125.3,,
TO,RESBDGELCPRDPVDCEBEP_23,125.3,,
TO,RESBDGELCPRDPVDCEMEP_23,125.3,,
TO,RESBDGELCPRDPVDCEPOP_23,125.3,,
TO,RESBDGELCPRDWTDCESTD_23,125.3,,
